"id","name","display_name","level","display_order","medium_of_instruction","parent_offering_id","root_offering_id"
1,"Language Learning","Language Learning",0,4,"1",NULL,NULL
2,"English","English",1,1,"1",1,1
14,"Ssc Cgl Tier Ii   English Comprehension","English Comprehension",3,220,"1",13,6
4,"French","French",1,3,"1",1,1
15,"Ssc Cgl Tier Ii   Quantitative Aptitude","Quantitative Aptitude",3,221,"1",13,6
6,"Competitive Exam","Competitive Exam",0,2,"1",NULL,NULL
16,"Ssc Cgl Tier Ii   Reasoning","Reasoning",3,222,"1",13,6
17,"Ssc Cgl Tier Ii   General Awareness","General Awareness",3,223,"1",13,6
234,"Ailet   English","English",3,248,"1",232,6
58,"C2","C2",2,28,"1",52,1
632,"Kindergarten Mathematics","Mathematics",3,2,"1",630,107
18,"Accounts Professional","Accounts Professional",1,2,"1",6,6
29,"Study Abroad","Study Abroad",0,3,"1",NULL,NULL
31,"Ielts  Academic Reading","Ielts  Academic Reading",3,296,"1",30,29
32,"Ietls  General Training Reading","Ietls  General Training Reading",3,297,"1",30,29
33,"Ielts  Academic Writing","Ielts  Academic Writing",3,298,"1",30,29
35,"Beginner","Beginner",2,1,"1",2,1
36,"Intermediate","Intermediate",2,5,"1",2,1
37,"Advanced","Advanced",2,8,"1",2,1
38,"German","German",1,2,"1",1,1
3,"A2  Elementary","A2  Elementary",2,18,"1",2,1
8,"Ssc Tier I","SSC Tier I",2,1,"1",7,6
13,"Ssc Tier Ii","SSC Tier II",2,2,"1",7,6
19,"Ca Foundation","CA Foundation",2,3,"1",18,6
24,"Acet","ACET",2,4,"1",18,6
21,"Ca Foundation   General Economics","General Economics",3,225,"1",19,6
22,"Ca Foundation   Mercantile Laws","Mercantile Laws",3,226,"1",19,6
23,"Ca Foundation   Quantitative Aptitude","Quantitative Aptitude",3,227,"1",19,6
25,"Acet   Data Interpretation","Data Interpretation",3,228,"1",24,6
26,"Acet   English","English",3,229,"1",24,6
27,"Acet   Logical Reasoning","Logical Reasoning",3,230,"1",24,6
28,"Acet   Mathematics","Mathematics",3,231,"1",24,6
30,"Ielts","IELTS",1,6,"1",29,29
34,"Ielts  General Training Writing","General Training Writing",3,299,"1",30,29
39,"A1  A1","A1",2,10,"1",38,1
40,"A2  A2.1","A2.1",2,11,"1",38,1
41,"A2  A2.2","A2.2",2,12,"1",38,1
42,"B1  B1.1","B1.1",2,13,"1",38,1
43,"B1  B1.2","B1.2",2,14,"1",38,1
5,"Beginner","Beginner",2,1,"1",4,1
9,"Ssc Cgl Tier I   English Comprehension","English Comprehension",3,216,"1",8,6
12,"Ssc Cgl Tier I   Reasoning","Reasoning",3,219,"1",8,6
11,"Ssc Cgl Tier I   Quantitative Aptitude","Quantitative Aptitude",3,218,"1",8,6
10,"Ssc Cgl Tier I   General Awareness","General Awareness",3,217,"1",8,6
235,"Ailet   General Knowledge","General Knowledge",3,249,"1",232,6
57,"C1","C1",2,27,"1",52,1
46,"A1  Beginner","A1  Beginner",2,17,"1",4,1
47,"A2  Elementary","A2  Elementary",2,18,"1",4,1
48,"B1  Intermediate","B1  Intermediate",2,19,"1",4,1
49,"B2  Upper Intermediate","B2  Upper Intermediate",2,20,"1",4,1
50,"C1  Advance","C1  Advance",2,21,"1",4,1
51,"C2  Master Or Proficient","C2  Master Or Proficient",2,22,"1",4,1
52,"Spanish","Spanish",1,4,"1",1,1
53,"A1","A1",2,23,"1",52,1
54,"A2","A2",2,24,"1",52,1
56,"B2","B2",2,26,"1",52,1
55,"B1","B1",2,25,"1",52,1
59,"Russian","Russian",1,5,"1",1,1
60,"A1  Elementary Level","A1  Elementary Level",2,29,"1",59,1
61,"A2  Basic Level","A2  Basic Level",2,30,"1",59,1
62,"B1  The First Certification Level","B1  The First Certification Level",2,31,"1",59,1
63,"B2  The Second Level Certificate","B2  The Second Level Certificate",2,32,"1",59,1
64,"C1  The Third Level Certificate","C1  The Third Level Certificate",2,33,"1",59,1
65,"C2  The Fourth Level Certificate","C2  The Fourth Level Certificate",2,34,"1",59,1
66,"Japanese","Japanese",1,6,"1",1,1
67,"Lower Elementary","Lower Elementary",2,58,"1",66,1
73,"Italian","Italian",1,7,"1",1,1
74,"A1  Beginner Or Elementary","A1  Beginner Or Elementary",2,35,"1",73,1
80,"Chinese","Chinese",1,8,"1",1,1
45,"C1  C1","C1",2,16,"1",38,1
81,"Hsk Level I","HSK Level I",2,46,"1",80,1
83,"Hsk Level Iii","HSK Level III",2,48,"1",80,1
82,"Hsk Level Ii","HSK Level II",2,47,"1",80,1
84,"Hsk Level Iv","HSK Level IV",2,49,"1",80,1
68,"Upper Elementary   Jlpt Level 4 Or N5","Upper Elementary JLPT Level 4 Or N5",2,59,"1",66,1
69,"Lower Intermediate   Jlpt Level 3 Or N4","Lower Intermediate   JLPT Level 3 Or N4",2,60,"1",66,1
70,"Upper Intermediate   Jlpt Level 2 Or N3   N2","Upper Intermediate JLPT Level 2 Or N3   N2",2,61,"1",66,1
71,"Lower Advanced   Jlpt Level 1 Or N1","Lower Advanced JLPT Level 1 Or N1",2,62,"1",66,1
